fromaccount,toaccount,syscode,timestamp,amount
A11648,1000001,30,2014/9/27 11:56,766
A11648,1000001,30,2014/9/27 7:34,280
A11648,1000011,30,2014/9/27 7:33,150
A11648,1000091,19,2014/9/28 14:53,2
A11648,1000027,34,2014/9/28 6:54,300
A11648,1000031,34,2014/9/28 6:57,250
A11648,1000031,34,2014/9/28 6:57,200
A11648,1000091,19,2014/9/28 14:53,124
A11648,1000091,19,2014/9/28 21:15,110
A11648,1000091,19,2014/9/28 14:53,66
A11648,1000091,19,2014/9/28 21:19,52
A11648,1000091,19,2014/9/28 14:59,66
A11648,1000091,19,2014/9/28 14:59,114
A11648,1000001,30,2014/9/28 11:20,816
A11648,1000001,30,2014/9/29 11:17,866
A11648,1000030,34,2014/9/29 17:06,500
A11648,1000031,34,2014/9/29 7:05,120
A11648,1000091,19,2014/9/29 21:41,88
A11648,1000029,34,2014/9/29 7:04,150
A11648,1000029,34,2014/9/29 7:05,250
A11648,1000091,19,2014/9/29 21:36,114
A11648,1000011,30,2014/9/30 7:11,150
A11648,1000091,19,2014/9/30 21:42,2
A11648,1000091,19,2014/9/30 21:42,52
A11648,1000091,19,2014/9/30 21:38,114
A11648,1000001,30,2014/9/30 7:12,200
A11648,1000091,19,2014/10/1 21:37,40
A11648,1000091,19,2014/10/1 21:34,86
A11648,1000091,19,2014/10/2 21:20,78
A11648,1000091,19,2014/10/2 21:14,110
A11648,1000091,19,2014/10/2 21:15,10
A11648,1000001,30,2014/10/2 17:47,694
A11648,1000001,30,2014/10/3 11:31,744
A11648,1000011,30,2014/10/4 17:04,450
A11648,1000003,30,2014/10/4 11:46,450
A11648,1000091,19,2014/10/4 19:34,90
A11648,1000091,19,2014/10/4 19:28,124
A11648,1000011,30,2014/10/5 7:50,150
A11648,1000011,30,2014/10/5 7:51,250
A11648,1000010,30,2014/10/5 7:57,100
A11648,1000001,30,2014/10/5 11:14,666
A11648,1000091,19,2014/10/6 19:11,36
A11648,1000091,19,2014/10/6 19:13,20
A11648,1000091,19,2014/10/6 19:08,114
A11648,1000030,34,2014/10/6 18:09,200
A11648,1000029,34,2014/10/6 18:11,400
A11648,1000011,30,2014/10/7 7:32,250
A11648,1000011,30,2014/10/7 7:29,300
A11648,1000029,34,2014/10/7 17:47,150
A11648,1000031,34,2014/10/7 17:48,370
A11648,1000030,34,2014/10/8 12:04,500
A11648,1000011,30,2014/10/8 17:13,200
A11648,1000011,30,2014/10/8 8:12,300
A11648,1000011,30,2014/10/8 8:11,150
A11648,1000011,30,2014/10/8 8:16,250
A11648,1000091,19,2014/10/8 21:16,46
A11648,1000091,19,2014/10/8 21:13,122
A11648,1000011,30,2014/10/9 7:09,150
A11648,1000011,30,2014/10/9 7:03,300
A11648,1000011,30,2014/10/9 7:01,150
A11648,1000001,30,2014/10/9 11:29,516
A11648,1000091,19,2014/10/10 21:16,108
A11648,1000091,19,2014/10/10 21:20,52
A11648,1000003,30,2014/10/10 17:41,250
A11648,1000003,30,2014/10/10 17:43,500
A11648,1000030,34,2014/10/10 6:57,200
A11648,1000031,34,2014/10/10 6:58,600
A11648,1000061,33,2014/10/10 11:48,666
A11648,1000010,30,2014/10/11 11:37,600
A11648,1000011,30,2014/10/11 7:25,150
A11648,1000011,30,2014/10/11 7:25,350
A11648,1000190,124,2014/10/12 18:11,200
A11648,1000011,30,2014/10/12 7:26,150
A11648,1000002,99,2014/10/12 11:42,894
A11648,1000011,30,2014/10/12 7:16,150
A11648,1000011,30,2014/10/12 7:16,250
A11648,1000010,30,2014/10/12 7:17,50
A11648,1000003,30,2014/10/12 17:47,150
A11648,1000003,30,2014/10/12 17:46,250
A11648,1000011,30,2014/10/12 17:46,150
A11648,1000001,30,2014/10/13 11:36,794
A11648,1000029,34,2014/10/13 7:06,150
A11648,1000029,34,2014/10/13 7:06,250
A11648,1000030,34,2014/10/13 7:05,200
A11648,1000016,28,2014/10/14 21:19,700
A11648,1000091,19,2014/10/14 21:59,148
A11648,1000011,30,2014/10/14 7:15,150
A11648,1000091,19,2014/10/14 22:04,56
A11648,1000011,30,2014/10/14 7:15,450
A11648,1000010,30,2014/10/15 8:18,100
A11648,1000011,30,2014/10/15 8:14,150
A11648,1000011,30,2014/10/15 8:14,150
A11648,1000011,30,2014/10/15 8:22,250
A11648,1000030,34,2014/10/16 6:46,200
A11648,1000029,34,2014/10/16 6:47,250
A11648,1000001,30,2014/10/16 11:23,816
A11648,1000031,34,2014/10/17 7:07,630
A11648,1000011,30,2014/10/17 17:11,500
A11648,1000027,34,2014/10/17 11:46,916
A11648,1000011,30,2014/10/17 17:12,150
A11648,1000091,19,2014/10/18 18:18,158
A11648,1000091,19,2014/10/18 18:08,122
A11648,1000011,30,2014/10/18 17:24,450
A11648,1000011,30,2014/10/18 8:05,300
A11648,1000010,30,2014/10/18 8:07,100
A11648,1000011,30,2014/10/18 8:13,250
A11648,1000001,30,2014/10/18 11:49,494
A11648,1000011,30,2014/10/19 7:42,150
A11648,1000011,30,2014/10/19 7:45,250
A11648,1000001,30,2014/10/19 7:42,100
A11648,1000003,30,2014/10/19 17:59,500
A11648,1000001,30,2014/10/19 11:05,544
A11648,1000003,30,2014/10/19 17:58,250
A11648,1000030,34,2014/10/20 7:12,700
A11648,1000001,30,2014/10/20 11:34,844
A11648,1000011,30,2014/10/20 18:25,400
A11648,1000011,30,2014/10/21 7:04,100
A11648,1000011,30,2014/10/21 7:08,250
A11648,1000001,30,2014/10/21 11:36,694
A11648,1000011,30,2014/10/21 16:12,250
A11648,1000003,30,2014/10/21 16:10,250
A11648,1000091,19,2014/10/21 21:09,138
A11648,1000091,19,2014/10/21 21:14,58
A11648,1000001,30,2014/10/22 12:05,766
A11648,1000011,30,2014/10/22 17:44,250
A11648,1000003,30,2014/10/22 17:35,250
A11648,1000003,30,2014/10/22 17:36,200
A11648,1000030,34,2014/10/22 8:03,140
A11648,1000030,34,2014/10/22 8:04,200
A11648,1000031,34,2014/10/22 8:05,250
A11648,1000011,30,2014/10/23 7:00,150
A11648,1000001,30,2014/10/23 7:02,140
A11648,1000011,30,2014/10/23 7:02,250
A11648,1000002,99,2014/10/23 11:29,894
A11648,1000242,99,2014/10/23 20:41,2170
A11648,1000091,19,2014/10/23 21:04,60
A11648,1000091,19,2014/10/23 21:00,154
A11648,1000030,34,2014/10/24 7:12,200
A11648,1000029,34,2014/10/24 7:13,250
A11648,1000031,34,2014/10/24 7:14,250
A11648,1000001,30,2014/10/24 11:41,644
A11648,1000001,30,2014/10/25 12:23,444
A11648,1000001,30,2014/10/25 12:24,794
A11648,1000001,30,2014/10/26 11:37,744
A11648,1000001,30,2014/10/26 11:38,744
A11648,1000030,34,2014/10/27 7:00,200
A11648,1000029,34,2014/10/27 7:02,500
A11648,1000003,30,2014/10/27 16:14,250
A11648,1000002,99,2014/10/27 16:13,744
A11648,1000233,36,2014/10/27 11:35,866
A11648,1000002,99,2014/10/28 11:44,844
A11648,1000030,34,2014/10/28 17:26,200
A11648,1000091,19,2014/10/28 21:48,86
A11648,1000091,19,2014/10/28 21:56,134
A11648,1000011,30,2014/10/28 7:17,150
A11648,1000011,30,2014/10/28 7:19,250
A11648,1000030,34,2014/10/29 6:54,200
A11648,1000029,34,2014/10/29 6:54,250
A11648,1000031,34,2014/10/29 6:30,300
A11648,1000031,34,2014/10/29 6:30,250
A11648,1000031,34,2014/10/29 6:55,180
A11648,1000003,30,2014/10/29 17:22,800
A11648,1000003,30,2014/10/29 17:23,250
A11648,1000027,34,2014/10/29 11:39,566
A11648,1000003,30,2014/10/30 17:36,500
A11648,1000003,30,2014/10/30 17:33,250
A11648,1000002,99,2014/10/30 11:34,744
A11648,1000003,30,2014/10/30 17:36,150
A11648,1000091,19,2014/10/30 18:12,162
A11648,1000030,34,2014/10/30 7:10,200
A11648,1000029,34,2014/10/30 7:12,300
A11648,1000091,19,2014/10/30 18:03,76
A11648,1000029,34,2014/10/30 7:11,250
A11648,1000002,99,2014/10/31 11:44,816
A11648,1000030,34,2014/10/31 7:19,200
A11648,1000029,34,2014/10/31 7:19,250
A11648,1000001,30,2014/11/8 7:30,170
A11648,1000011,30,2014/11/8 7:34,250
A11648,1000010,30,2014/11/8 17:10,600
A11648,1000003,30,2014/11/8 17:13,250
A11648,1000003,30,2014/11/8 17:11,250
A11648,1000010,30,2014/11/8 11:51,800
A11648,1000001,30,2014/11/9 7:51,100
A11648,1000001,30,2014/11/9 11:55,666
A11648,1000001,30,2014/11/9 7:52,70
A11648,1000003,30,2014/11/9 17:37,250
A11648,1000011,30,2014/11/9 8:03,150
A11648,1000003,30,2014/11/9 17:38,700
A11648,1000011,30,2014/11/9 7:54,250
A11648,1000005,28,2014/11/10 11:32,950
A11648,1000031,34,2014/11/10 17:17,630
A11648,1000030,34,2014/11/10 7:05,200
A11648,1000029,34,2014/11/10 7:07,250
A11648,1000029,34,2014/11/10 7:06,250
A11648,1000091,19,2014/11/11 20:19,122
A11648,1000091,19,2014/11/11 20:22,200
A11648,1000091,19,2014/11/11 20:27,140
A11648,1000011,30,2014/11/11 7:04,250
A11648,1000011,30,2014/11/11 7:09,250
A11648,1000016,28,2014/11/11 15:14,520
A11648,1000001,30,2014/11/11 7:01,100
A11648,1000002,99,2014/11/11 11:40,866
A11648,1000030,34,2014/11/12 7:15,250
A11648,1000029,34,2014/11/12 7:15,250
A11648,1000030,34,2014/11/12 7:14,200
A11648,1000027,34,2014/11/12 7:24,70
A11648,1000031,34,2014/11/12 6:27,380
A11648,1000031,34,2014/11/12 6:27,120
A11648,1000001,30,2014/11/12 11:27,694
A11648,1000027,34,2014/11/13 7:19,140
A11648,1000001,30,2014/11/13 11:30,816
A11648,1000029,34,2014/11/13 7:10,250
A11648,1000031,34,2014/11/13 7:11,180
A11648,1000030,34,2014/11/13 7:09,200
A11648,1000091,19,2014/11/13 18:14,118
A11648,1000002,99,2014/11/13 17:38,494
A11648,1000003,30,2014/11/13 17:36,250
A11648,1000091,19,2014/11/13 18:23,156
A11648,1000030,34,2014/11/14 7:03,150
A11648,1000030,34,2014/11/14 7:04,150
A11648,1000029,34,2014/11/14 7:05,250
A11648,1000030,34,2014/11/14 7:03,200
A11648,1000001,30,2014/11/14 11:38,866
A11648,1000003,30,2014/11/14 17:29,250
A11648,1000003,30,2014/11/14 17:30,270
A11648,1000003,30,2014/11/14 17:32,150
A11648,1000001,30,2014/11/15 7:46,250
A11648,1000011,30,2014/11/15 7:38,250
A11648,1000011,30,2014/11/15 7:34,300
A11648,1000003,30,2014/11/15 17:40,370
A11648,1000003,30,2014/11/15 17:39,600
A11648,1000001,30,2014/11/16 11:49,516
A11648,1000011,30,2014/11/16 7:48,300
A11648,1000093,20,2014/11/16 19:11,140
A11648,1000242,99,2014/11/16 12:02,630
A11648,1000003,30,2014/11/16 17:16,250
A11648,1000003,30,2014/11/16 17:15,270
A11648,1000011,30,2014/11/16 7:50,250
A11648,1000093,20,2014/11/16 19:02,106
A11648,1000030,34,2014/11/17 7:01,200
A11648,1000030,34,2014/11/17 7:02,150
A11648,1000029,34,2014/11/17 7:03,250
A11648,1000242,99,2014/11/17 11:54,780
A11648,1000003,30,2014/11/17 11:34,700
A11648,1000003,30,2014/11/17 17:32,670
A11648,1000003,30,2014/11/17 17:43,150
A11648,1000003,30,2014/11/18 11:32,700
A11648,1000091,19,2014/11/18 20:38,116
A11648,1000091,19,2014/11/18 20:46,128
A11648,1000031,34,2014/11/18 17:25,450
A11648,1000031,34,2014/11/18 17:35,200
A11648,1000011,30,2014/11/18 6:49,150
A11648,1000011,30,2014/11/18 6:48,250
A11648,1000011,30,2014/11/18 6:54,250
A11648,1000029,34,2014/11/19 6:53,250
A11648,1000030,34,2014/11/19 6:45,150
A11648,1000029,34,2014/11/19 6:45,250
A11648,1000030,34,2014/11/19 6:46,200
A11648,1000001,30,2014/11/19 11:38,516
A11648,1000031,34,2014/11/19 17:24,570
A11648,1000001,30,2014/11/20 7:22,100
A11648,1000011,30,2014/11/20 7:24,550
A11648,1000003,30,2014/11/20 11:49,600
A11648,1000003,30,2014/11/20 17:36,250
A11648,1000010,30,2014/11/20 17:34,600
A11648,1000003,30,2014/11/20 17:44,150
A11648,1000001,30,2014/11/21 10:27,416
A11648,1000211,38,2014/11/21 16:02,350
A11648,1000003,30,2014/11/21 17:13,500
A11648,1000003,30,2014/11/21 17:14,250
A11648,1000001,30,2014/11/22 6:55,200
A11648,1000001,30,2014/11/22 6:55,100
A11648,1000011,30,2014/11/22 6:58,250
A11648,1000001,30,2014/11/22 11:47,516
A11648,1000003,30,2014/11/22 17:45,250
A11648,1000001,30,2014/11/22 17:44,444
A11648,1000003,30,2014/11/23 11:56,500
A11648,1000030,34,2014/11/23 18:14,650
A11648,1000030,34,2014/11/23 18:16,200
A11648,1000093,20,2014/11/23 18:35,2
A11648,1000093,20,2014/11/23 18:51,148
A11648,1000093,20,2014/11/23 18:42,128
A11648,1000029,34,2014/11/24 7:04,250
A11648,1000029,34,2014/11/24 7:04,250
A11648,1000029,34,2014/11/24 7:05,250
A11648,1000030,34,2014/11/24 7:03,200
A11648,1000029,34,2014/11/24 17:24,450
A11648,1000030,34,2014/11/24 17:22,200
A11648,1000027,34,2014/11/24 11:32,916
A11648,1000001,30,2014/11/25 11:37,566
A11648,1000030,34,2014/11/25 17:25,500
A11648,1000030,34,2014/11/25 17:25,200
A11648,1000029,34,2014/11/25 17:38,190
A11648,1000011,30,2014/11/25 7:12,150
A11648,1000011,30,2014/11/25 7:12,250
A11648,1000029,34,2014/11/26 7:13,250
A11648,1000001,30,2014/11/26 11:44,816
A11648,1000030,34,2014/11/26 7:13,250
A11648,1000016,28,2014/11/26 7:58,290
A11648,1000003,30,2014/11/26 17:25,250
A11648,1000003,30,2014/11/26 17:26,300
A11648,1000031,34,2014/11/27 7:16,120
A11648,1000001,30,2014/11/27 11:35,766
A11648,1000030,34,2014/11/27 7:14,200
A11648,1000030,34,2014/11/27 7:15,150
A11648,1000003,30,2014/11/27 17:39,250
A11648,1000001,30,2014/11/27 17:37,594
A11648,1000001,30,2014/11/28 11:34,466
A11648,1000029,34,2014/11/28 7:09,250
A11648,1000030,34,2014/11/28 7:07,200
A11648,1000003,30,2014/11/28 17:48,250
A11648,1000091,19,2014/11/28 21:17,126
A11648,1000001,30,2014/11/28 17:48,516
A11648,1000091,19,2014/11/28 21:25,120
A11648,1000011,30,2014/11/29 11:52,600
A11648,1000003,30,2014/11/29 17:58,120
A11648,1000003,30,2014/11/29 17:46,400
A11648,1000010,30,2014/11/29 6:59,100
A11648,1000001,30,2014/11/29 6:56,100
A11648,1000011,30,2014/11/29 6:57,250
A11648,1000003,30,2014/11/30 7:08,250
A11648,1000010,30,2014/11/30 7:10,250
A11648,1000176,99,2014/11/30 20:04,5400
A11648,1000003,30,2014/11/30 17:57,550
A11648,1000176,99,2014/11/30 20:06,4000
A11648,1000010,30,2014/11/30 7:11,50
A11648,1000001,30,2014/11/30 11:11,366
A11648,1000003,30,2014/11/1 18:22,750
A11648,1000091,19,2014/11/1 19:10,154
A11648,1000091,19,2014/11/1 18:55,4
A11648,1000002,99,2014/11/1 11:55,494
A11648,1000091,19,2014/11/1 19:01,110
A11648,1000091,19,2014/11/1 18:55,200
A11648,1000091,19,2014/11/1 18:55,2
A11648,1000011,30,2014/11/1 7:55,150
A11648,1000011,30,2014/11/1 7:59,250
A11648,1000242,99,2014/11/2 12:16,2340
A11648,1000011,30,2014/11/2 7:32,300
A11648,1000011,30,2014/11/2 7:34,250
A11648,1000015,99,2014/11/2 12:02,1016
A11648,1000003,30,2014/11/3 17:59,500
A11648,1000236,135,2014/11/3 16:29,1500
A11648,1000003,30,2014/11/3 17:59,370
A11648,1000242,99,2014/11/3 21:43,360
A11648,1000031,34,2014/11/3 7:07,180
A11648,1000030,34,2014/11/3 7:06,200
A11648,1000029,34,2014/11/3 7:06,250
A11648,1000001,30,2014/11/3 11:35,916
A11648,1000011,30,2014/11/4 6:52,150
A11648,1000011,30,2014/11/4 6:52,250
A11648,1000010,30,2014/11/4 7:02,100
A11648,1000001,30,2014/11/4 11:41,666
A11648,1000030,34,2014/11/5 7:12,200
A11648,1000029,34,2014/11/5 7:12,250
A11648,1000031,34,2014/11/5 6:17,450
A11648,1000031,34,2014/11/5 6:17,180
A11648,1000029,34,2014/11/5 7:19,250
A11648,1000029,34,2014/11/5 11:31,700
A11648,1000031,34,2014/11/5 17:55,200
A11648,1000029,34,2014/11/5 18:03,300
A11648,1000029,34,2014/11/5 17:56,600
A11648,1000091,19,2014/11/6 18:10,118
A11648,1000091,19,2014/11/6 18:12,10
A11648,1000091,19,2014/11/6 18:19,146
A11648,1000001,30,2014/11/6 11:36,716
A11648,1000242,99,2014/11/6 11:51,1080
A11648,1000003,30,2014/11/6 17:38,250
A11648,1000003,30,2014/11/6 17:42,150
A11648,1000003,30,2014/11/6 17:39,500
A11648,1000029,34,2014/11/7 6:58,250
A11648,1000001,30,2014/11/7 11:41,666
A11648,1000030,34,2014/11/7 6:57,200
A11648,1000031,34,2014/11/7 6:57,180
A11648,1000016,28,2014/11/7 15:05,3290
A11648,1000030,269,2014/12/5 7:04,200
A11648,1000030,269,2014/12/5 7:04,150
A11648,1000001,30,2014/12/5 11:43,916
A11648,1000029,269,2014/12/5 7:06,250
A11648,1000091,19,2014/12/22 16:16,110
A11648,1000031,269,2014/12/22 17:23,370
A11648,1000010,30,2014/12/6 7:20,50
A11648,1000011,30,2014/12/6 7:20,250
A11648,1000030,269,2014/12/11 7:00,250
A11648,1000030,269,2014/12/11 7:00,200
A11648,1000029,269,2014/12/11 7:01,250
A11648,1000003,30,2014/12/25 17:23,400
A11648,1000003,30,2014/12/11 17:41,370
A11648,1000011,30,2014/12/25 11:57,600
A11648,1000001,30,2014/12/11 11:46,766
A11648,1000003,30,2014/12/11 17:48,120
A11648,1000029,269,2014/12/12 7:02,250
A11648,1000030,269,2014/12/12 7:00,200
A11648,1000027,269,2014/12/12 7:02,70
A11648,1000011,30,2014/12/12 11:38,600
A11648,1000011,30,2014/12/12 11:37,200
A11648,1000091,19,2014/12/22 16:09,92
A11648,1000030,269,2014/12/12 17:30,200
A11648,1000029,269,2014/12/12 17:30,200
A11648,1000029,269,2014/12/12 17:39,400
A11648,1000030,269,2014/12/22 17:19,200
A11648,1000003,30,2014/12/6 18:04,550
A11648,1000010,30,2014/12/13 7:29,200
A11648,1000233,268,2014/12/6 11:29,566
A11648,1000001,30,2014/12/13 7:19,100
A11648,1000041,269,2014/12/13 11:43,616
A11648,1000011,30,2014/12/13 7:22,250
A11648,1000041,269,2014/12/13 11:44,130
A11648,1000001,30,2014/12/14 7:19,100
A11648,1000030,269,2014/12/22 17:29,500
A11648,1000011,30,2014/12/27 7:07,250
A11648,1000011,30,2014/12/14 7:21,250
A11648,1000010,30,2014/12/14 7:22,100
A11648,1000030,269,2014/12/14 17:49,200
A11648,1000030,269,2014/12/31 6:59,150
A11648,1000030,269,2014/12/31 6:59,100
A11648,1000011,30,2014/12/14 11:46,600
A11648,1000011,30,2014/12/14 11:47,150
A11648,1000010,30,2014/12/6 7:30,50
A11648,1000003,30,2014/12/6 7:19,250
A11648,1000011,30,2014/12/14 11:55,200
A11648,1000030,269,2014/12/31 7:00,200
A11648,1000029,269,2014/12/14 17:49,450
A11648,1000091,19,2014/12/24 20:38,80
A11648,1000001,30,2014/12/22 11:36,766
A11648,1000091,19,2014/12/24 20:44,94
A11648,1000011,30,2014/12/31 11:39,850
A11648,1000031,269,2014/12/15 7:31,430
A11648,1000029,269,2014/12/31 7:10,250
A11648,1000030,269,2014/12/15 11:32,650
A11648,1000030,269,2014/12/15 7:32,200
A11648,1000027,269,2014/12/15 7:38,70
A11648,1000016,28,2014/12/15 13:36,560
A11648,1000029,269,2014/12/8 7:06,250
A11648,1000003,30,2014/12/15 17:50,250
A11648,1000030,269,2014/12/8 7:06,200
A11648,1000011,30,2014/12/15 17:48,600
A11648,1000038,269,2014/12/8 11:43,560
A11648,1000029,269,2014/12/8 7:07,250
A11648,1000030,269,2014/12/8 17:09,200
A11648,1000030,269,2014/12/8 17:11,500
A11648,1000091,19,2014/12/16 21:58,84
A11648,1000001,30,2014/12/9 11:44,466
A11648,1000011,30,2014/12/16 6:51,250
A11648,1000091,19,2014/12/16 22:04,84
A11648,1000030,269,2014/12/22 7:02,200
A11648,1000030,269,2014/12/22 7:02,100
A11648,1000001,30,2014/12/16 6:53,280
A11648,1000029,269,2014/12/16 17:46,250
A11648,1000029,269,2014/12/22 7:11,200
A11648,1000030,269,2014/12/25 6:42,450
A11648,1000029,269,2014/12/22 7:03,250
A11648,1000011,30,2014/12/9 6:54,250
A11648,1000003,30,2014/12/9 6:44,250
A11648,1000011,30,2014/12/9 6:45,250
A11648,1000003,30,2014/12/16 11:41,550
A11648,1000030,269,2014/12/9 17:27,500
A11648,1000030,269,2014/12/9 17:25,200
A11648,1000001,30,2014/12/23 6:34,100
A11648,1000011,30,2014/12/23 6:35,250
A11648,1000010,30,2014/12/23 6:36,200
A11648,1000030,269,2014/12/17 7:10,200
A11648,1000031,269,2014/12/17 6:16,320
A11648,1000030,269,2014/12/10 7:17,200
A11648,1000108,267,2014/12/26 10:48,1000
A11648,1000027,269,2014/12/10 7:27,140
A11648,1000029,269,2014/12/25 6:44,250
A11648,1000029,269,2014/12/17 7:11,250
A11648,1000029,269,2014/12/10 7:17,250
A11648,1000030,269,2014/12/10 11:35,650
A11648,1000031,269,2014/12/17 7:12,120
A11648,1000091,19,2014/12/10 21:14,2
A11648,1000091,19,2014/12/10 21:20,108
A11648,1000003,30,2014/12/10 16:54,370
A11648,1000029,269,2014/12/26 6:53,250
A11648,1000030,269,2014/12/26 6:54,150
A11648,1000003,30,2014/12/10 16:59,300
A11648,1000030,269,2014/12/26 6:54,100
A11648,1000091,19,2014/12/10 21:27,114
A11648,1000030,269,2014/12/23 17:27,200
A11648,1000029,269,2014/12/23 17:29,250
A11648,1000011,30,2014/12/17 17:35,150
A11648,1000011,30,2014/12/17 17:29,300
A11648,1000030,269,2014/12/17 11:39,650
A11648,1000055,267,2014/12/27 11:55,866
A11648,1000003,30,2014/12/17 17:22,350
A11648,1000011,30,2014/12/18 7:05,250
A11648,1000001,30,2014/12/27 7:05,250
A11648,1000031,269,2014/12/23 17:28,250
A11648,1000011,30,2014/12/18 6:58,150
A11648,1000011,30,2014/12/18 6:59,250
A11648,1000010,30,2014/12/27 7:13,100
A11648,1000055,267,2014/12/27 11:56,100
A11648,1000003,30,2014/12/18 17:39,600
A11648,1000091,19,2014/12/27 21:32,2
A11648,1000091,19,2014/12/27 21:44,108
A11648,1000091,19,2014/12/27 21:38,98
A11648,1000212,267,2014/12/27 18:05,1000
A11648,1000003,30,2014/12/18 17:54,100
A11648,1000003,30,2014/12/18 17:37,250
A11648,1000001,30,2014/12/28 7:11,100
A11648,1000011,30,2014/12/28 7:13,400
A11648,1000003,30,2014/12/26 16:55,250
A11648,1000011,30,2014/12/18 12:05,600
A11648,1000010,30,2014/12/28 7:14,100
A11648,1000011,30,2014/12/23 11:44,1000
A11648,1000002,99,2014/12/28 11:40,466
A11648,1000030,269,2014/12/19 7:16,200
A11648,1000108,267,2014/12/28 17:53,1000
A11648,1000029,269,2014/12/24 7:19,450
A11648,1000029,269,2014/12/19 7:16,250
A11648,1000057,267,2014/12/28 17:52,250
A11648,1000030,269,2014/12/29 6:56,150
A11648,1000029,269,2014/12/29 6:56,200
A11648,1000029,269,2014/12/29 6:57,250
A11648,1000030,269,2014/12/29 11:32,650
A11648,1000003,30,2014/12/29 16:03,470
A11648,1000030,269,2014/12/24 7:18,300
A11648,1000011,30,2014/12/19 11:35,600
A11648,1000003,30,2014/12/19 18:04,120
A11648,1000003,30,2014/12/19 18:02,250
A11648,1000011,30,2014/12/19 18:13,200
A11648,1000027,34,2014/12/1 7:27,70
